1,USA,American,331002651,0.3245
2,Brazil,Brazilian,212559417,0.2084
3,Mexico,Mexican,126014024,0.1235
4,Colombia,Colombian,50882891,0.0499
5,Argentina,Argentine,45195774,0.0443
6,Canada,Canadian,37742154,0.0370
7,Peru,Peruvian,33149016,0.0325
8,Venezuela,Venezuelan,28435940,0.0279
9,Chile,Chilean,19116201,0.0187
10,Guatemala,Guatemalan,17915568,0.0176
11,Ecuador,Ecuadorian,17643054,0.0173
12,Bolivia,Bolivian,11673021,0.0114
13,Cuba,Cuban,11326616,0.0111
14,Haiti,Haitian,11402528,0.0112
15,DominicanRepublic,Dominican,10847910,0.0106
16,Honduras,Honduran,9904607,0.0097
17,Paraguay,Paraguayan,7132538,0.0070
18,Nicaragua,Nicaraguan,6624554,0.0065
19,ElSalvador,Salvadoran,6486205,0.0064
20,CostaRica,Costa Rican,5094118,0.0050
21,Panama,Panamanian,4314767,0.0042
22,Uruguay,Uruguayan,3473730,0.0034
23,Jamaica,Jamaican,2961167,0.0029
24,PuertoRico,Puerto Rican,2860853,0.0028
25,TrinidadandTobago,Trinidadian and Tobagonian,1399488,0.0014
26,Guyana,Guyanese,786552,0.0008
27,Suriname,Surinamese,586632,0.0006
28,Belize,Belizean,397628,0.0004
29,TheBahamas,Bahamian,393244,0.0004
30,Barbados,Barbadian,287375,0.0003
31,SaintLucia,Saint Lucian,183627,0.0002
32,Grenada,Grenadian,112523,0.0001
33,SaintVincentandThegrenadines,Vincentian,110940,0.0001
34,AntiguandBarbuda,Antiguan and Barbudan,97929,0.0001
35,Dominica,Dominican,71986,0.0001
36,SaintKittsandNevis,Nevisian,53199,0.0001
